iter	Passed	Remaining
0	7	778
1	14	730
2	21	688
3	26	628
4	32	611
5	37	586
6	42	566
7	46	535
8	49	505
9	53	481
10	56	460
11	61	451
12	66	441
13	70	431
14	73	418
15	76	399
16	78	381
17	80	365
18	82	350
19	84	338
20	86	325
21	88	314
22	90	303
23	93	294
24	95	285
25	97	277
26	99	269
27	101	261
28	103	252
29	104	243
30	105	235
31	106	227
32	108	219
33	109	212
34	110	205
35	111	198
36	112	192
37	114	186
38	115	180
39	116	175
40	117	169
41	118	163
42	119	158
43	120	153
44	122	149
45	123	144
46	124	140
47	125	136
48	126	131
49	127	127
50	129	123
51	130	120
52	131	116
53	133	113
54	134	109
55	135	106
56	136	103
57	137	99
58	138	96
59	140	93
60	141	90
61	142	87
62	143	84
63	144	81
64	146	78
65	147	76
66	148	73
67	150	70
68	151	67
69	152	65
70	153	62
71	154	60
72	156	57
73	157	55
74	158	52
75	159	50
76	160	48
77	162	45
78	163	43
79	164	41
80	165	38
81	166	36
82	168	34
83	169	32
84	170	30
85	171	27
86	172	25
87	173	23
88	175	21
89	176	19
90	177	17
91	178	15
92	179	13
93	181	11
94	182	9
95	183	7
96	184	5
97	185	3
98	187	1
99	188	0
